key,subset,split,reader,native_side,outcome,resampling,artery_dice,vein_dice,vessels_dice,artery_cldice,vein_cldice,vessels_cldice,said_artery_px,said_vein_px,truth_artery_px,truth_vein_px,note
enrich_les556enrich08620220117_003,enrich,unspecified,expert,2199,graded,"probabilities to native, bilinear, then thresholded",,,0.827844,,,0.869693,0,0,203277,201296,
enrich_les562enrich04320210907_001,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, then thresholded",,,0.813879,,,0.888064,0,0,133559,155432,
enrich_les567enrich02120210809_004,enrich,unspecified,expert,2198,graded,"probabilities to native, bilinear, then thresholded",,,0.760590,,,0.829846,0,0,111948,136254,
enrich_les577enrich11820220921_002,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, then thresholded",,,0.808279,,,0.884873,0,0,144169,176382,
enrich_les577enrich11820220921_003,enrich,unspecified,expert,2199,graded,"probabilities to native, bilinear, then thresholded",,,0.815893,,,0.884457,0,0,160535,195516,
enrich_les586enrich08920220125_001,enrich,unspecified,expert,2198,graded,"probabilities to native, bilinear, then thresholded",,,0.826042,,,0.859493,0,0,177297,222977,
enrich_les586enrich08920220125_002,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, then thresholded",,,0.828276,,,0.862226,0,0,176568,202074,
enrich_les595enrich09620220310_004,enrich,unspecified,expert,2199,graded,"probabilities to native, bilinear, then thresholded",,,0.835231,,,0.865648,0,0,164753,143257,
enrich_les607enrich11920221003_003,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, then thresholded",,,0.813309,,,0.852482,0,0,158791,182333,
enrich_les616enrich09520220310_002,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, then thresholded",,,0.811199,,,0.865604,0,0,141002,146992,
enrich_les617enrich11520220902_001,enrich,unspecified,expert,2198,graded,"probabilities to native, bilinear, then thresholded",,,0.769503,,,0.836124,0,0,129769,163483,
enrich_les617enrich11520220902_002,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, then thresholded",,,0.762130,,,0.824944,0,0,121135,131071,
enrich_les625enrich9820220328_002,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, then thresholded",,,0.806226,,,0.872205,0,0,153127,152292,
enrich_les644enrich09720220321_001,enrich,unspecified,expert,2199,graded,"probabilities to native, bilinear, then thresholded",,,0.776817,,,0.840994,0,0,133051,152921,
enrich_les661enrich11420220831_002,enrich,unspecified,expert,2199,graded,"probabilities to native, bilinear, then thresholded",,,0.782461,,,0.798686,0,0,152687,164664,
enrich_les664enrich10420220509_002,enrich,unspecified,expert,2199,graded,"probabilities to native, bilinear, then thresholded",,,0.847360,,,0.893042,0,0,186307,194354,
enrich_les683enrich11220220822_002,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, then thresholded",,,0.798290,,,0.876010,0,0,168578,196568,
enrich_les687enrich10520220516_001,enrich,unspecified,expert,2201,graded,"probabilities to native, bilinear, then thresholded",,,0.813386,,,0.885368,0,0,153658,196889,
enrich_les687enrich10520220516_002,enrich,unspecified,expert,2200,graded,"probabilities to native, bilinear, then thresholded",,,0.836659,,,0.890216,0,0,148397,165829,
enrich_les700enrich10120220502_001,enrich,unspecified,expert,2199,graded,"probabilities to native, bilinear, then thresholded",,,0.772340,,,0.816874,0,0,132341,127127,
fives_100_d,fives,unspecified,expert,1418,graded,"probabilities to native, bilinear, then thresholded",,,0.837534,,,0.863215,0,0,53050,83304,
fives_105_g,fives,unspecified,expert,1418,graded,"probabilities to native, bilinear, then thresholded",,,0.843897,,,0.867058,0,0,75101,85005,
fives_106_g,fives,unspecified,expert,1417,graded,"probabilities to native, bilinear, then thresholded",,,0.857605,,,0.864767,0,0,83755,97385,
fives_107_g,fives,unspecified,expert,1417,graded,"probabilities to native, bilinear, then thresholded",,,0.832524,,,0.868919,0,0,81824,100320,
fives_109_g,fives,unspecified,expert,1418,graded,"probabilities to native, bilinear, then thresholded",,,0.840993,,,0.898330,0,0,69715,81180,
fives_110_g,fives,unspecified,expert,1417,graded,"probabilities to native, bilinear, then thresholded",,,0.834117,,,0.875662,0,0,64204,76308,
fives_112_g,fives,unspecified,expert,1417,graded,"probabilities to native, bilinear, then thresholded",,,0.802226,,,0.803241,0,0,63197,70713,
fives_115_g,fives,unspecified,expert,1418,graded,"probabilities to native, bilinear, then thresholded",,,0.807999,,,0.840295,0,0,60623,83774,
fives_116_g,fives,unspecified,expert,1419,graded,"probabilities to native, bilinear, then thresholded",,,0.743342,,,0.733097,0,0,54121,73277,
fives_117_g,fives,unspecified,expert,1418,graded,"probabilities to native, bilinear, then thresholded",,,0.807326,,,0.843208,0,0,60538,73003,
fives_118_g,fives,unspecified,expert,1421,graded,"probabilities to native, bilinear, then thresholded",,,0.844240,,,0.923604,0,0,78652,86569,
fives_120_g,fives,unspecified,expert,1417,graded,"probabilities to native, bilinear, then thresholded",,,0.836490,,,0.839847,0,0,76533,78016,
fives_124_g,fives,unspecified,expert,1418,graded,"probabilities to native, bilinear, then thresholded",,,0.805861,,,0.796858,0,0,51409,64030,
fives_125_g,fives,unspecified,expert,1417,graded,"probabilities to native, bilinear, then thresholded",,,0.846118,,,0.843243,0,0,65826,95823,
fives_126_g,fives,unspecified,expert,1421,graded,"probabilities to native, bilinear, then thresholded",,,0.793393,,,0.873995,0,0,52935,62980,
fives_128_g,fives,unspecified,expert,1418,graded,"probabilities to native, bilinear, then thresholded",,,0.840135,,,0.880468,0,0,56240,67338,
fives_12_a,fives,unspecified,expert,1422,graded,"probabilities to native, bilinear, then thresholded",,,0.846641,,,0.899483,0,0,67902,83330,
fives_131_g,fives,unspecified,expert,1420,graded,"probabilities to native, bilinear, then thresholded",,,0.833704,,,0.879691,0,0,75206,79629,
fives_132_g,fives,unspecified,expert,1418,graded,"probabilities to native, bilinear, then thresholded",,,0.791985,,,0.814349,0,0,48124,66479,
fives_134_g,fives,unspecified,expert,1419,graded,"probabilities to native, bilinear, then thresholded",,,0.827243,,,0.862050,0,0,72536,81013,
fives_139_g,fives,unspecified,expert,1421,graded,"probabilities to native, bilinear, then thresholded",,,0.825778,,,0.859680,0,0,79842,107790,
fives_13_a,fives,unspecified,expert,1422,graded,"probabilities to native, bilinear, then thresholded",,,0.815127,,,0.882580,0,0,66805,87735,
fives_140_g,fives,unspecified,expert,1417,graded,"probabilities to native, bilinear, then thresholded",,,0.759534,,,0.790122,0,0,44153,54365,
fives_141_g,fives,unspecified,expert,1418,graded,"probabilities to native, bilinear, then thresholded",,,0.816067,,,0.882969,0,0,68564,75220,
fives_14_a,fives,unspecified,expert,1421,graded,"probabilities to native, bilinear, then thresholded",,,0.830829,,,0.905959,0,0,65449,84757,
fives_151_n,fives,unspecified,expert,1419,graded,"probabilities to native, bilinear, then thresholded",,,0.791899,,,0.779142,0,0,72148,92897,
fives_156_n,fives,unspecified,expert,1421,graded,"probabilities to native, bilinear, then thresholded",,,0.824784,,,0.837688,0,0,48466,60517,
fives_157_n,fives,unspecified,expert,1416,graded,"probabilities to native, bilinear, then thresholded",,,0.796858,,,0.823309,0,0,79179,85553,
fives_15_a,fives,unspecified,expert,1419,graded,"probabilities to native, bilinear, then thresholded",,,0.842706,,,0.893199,0,0,66052,81018,
fives_160_n,fives,unspecified,expert,1418,graded,"probabilities to native, bilinear, then thresholded",,,0.831725,,,0.867639,0,0,79455,88677,
fives_161_n,fives,unspecified,expert,1418,graded,"probabilities to native, bilinear, then thresholded",,,0.829461,,,0.838120,0,0,64680,82639,
fives_162_n,fives,unspecified,expert,1419,graded,"probabilities to native, bilinear, then thresholded",,,0.800990,,,0.824254,0,0,73320,83109,
fives_163_n,fives,unspecified,expert,1418,graded,"probabilities to native, bilinear, then thresholded",,,0.808663,,,0.817614,0,0,57413,74147,
fives_164_n,fives,unspecified,expert,1417,graded,"probabilities to native, bilinear, then thresholded",,,0.775934,,,0.793805,0,0,63739,69887,
fives_165_n,fives,unspecified,expert,1418,graded,"probabilities to native, bilinear, then thresholded",,,0.776353,,,0.813798,0,0,79648,103529,
fives_166_n,fives,unspecified,expert,1418,graded,"probabilities to native, bilinear, then thresholded",,,0.764752,,,0.783372,0,0,84835,89725,
fives_167_n,fives,unspecified,expert,1418,graded,"probabilities to native, bilinear, then thresholded",,,0.742533,,,0.750449,0,0,69466,77061,
fives_168_n,fives,unspecified,expert,1419,graded,"probabilities to native, bilinear, then thresholded",,,0.728224,,,0.758781,0,0,67073,73931,
fives_169_n,fives,unspecified,expert,1417,graded,"probabilities to native, bilinear, then thresholded",,,0.833689,,,0.886175,0,0,81214,82825,
fives_16_a,fives,unspecified,expert,1422,graded,"probabilities to native, bilinear, then thresholded",,,0.806139,,,0.883189,0,0,69110,76509,
fives_170_n,fives,unspecified,expert,1417,graded,"probabilities to native, bilinear, then thresholded",,,0.806634,,,0.850394,0,0,74505,82327,
fives_172_n,fives,unspecified,expert,1419,graded,"probabilities to native, bilinear, then thresholded",,,0.831954,,,0.892386,0,0,84313,85181,
fives_176_n,fives,unspecified,expert,1420,graded,"probabilities to native, bilinear, then thresholded",,,0.792732,,,0.831526,0,0,80993,95748,
fives_17_a,fives,unspecified,expert,1419,graded,"probabilities to native, bilinear, then thresholded",,,0.861436,,,0.918974,0,0,64453,86241,
fives_1_a,fives,unspecified,expert,1419,graded,"probabilities to native, bilinear, then thresholded",,,0.844590,,,0.868417,0,0,86698,103504,
fives_22_a,fives,unspecified,expert,1424,graded,"probabilities to native, bilinear, then thresholded",,,0.839087,,,0.926369,0,0,73906,83668,
fives_23_a,fives,unspecified,expert,1424,graded,"probabilities to native, bilinear, then thresholded",,,0.841436,,,0.926736,0,0,73568,84056,
fives_25_a,fives,unspecified,expert,1421,graded,"probabilities to native, bilinear, then thresholded",,,0.829785,,,0.894835,0,0,60052,65660,
fives_26_a,fives,unspecified,expert,1422,graded,"probabilities to native, bilinear, then thresholded",,,0.823848,,,0.887613,0,0,72318,85518,
fives_28_a,fives,unspecified,expert,1421,graded,"probabilities to native, bilinear, then thresholded",,,0.822979,,,0.857821,0,0,67690,78218,
fives_2_a,fives,unspecified,expert,1418,graded,"probabilities to native, bilinear, then thresholded",,,0.838509,,,0.887374,0,0,77163,91222,
fives_30_a,fives,unspecified,expert,1419,graded,"probabilities to native, bilinear, then thresholded",,,0.828112,,,0.863851,0,0,55950,79304,
fives_33_a,fives,unspecified,expert,1420,graded,"probabilities to native, bilinear, then thresholded",,,0.814923,,,0.887708,0,0,96478,123782,
fives_34_a,fives,unspecified,expert,1421,graded,"probabilities to native, bilinear, then thresholded",,,0.782468,,,0.842606,0,0,47500,79483,
fives_35_a,fives,unspecified,expert,1419,graded,"probabilities to native, bilinear, then thresholded",,,0.838009,,,0.912775,0,0,77837,91425,
fives_36_a,fives,unspecified,expert,1420,graded,"probabilities to native, bilinear, then thresholded",,,0.826056,,,0.877715,0,0,84834,84392,
fives_39_a,fives,unspecified,expert,1422,graded,"probabilities to native, bilinear, then thresholded",,,0.807158,,,0.845366,0,0,59188,79576,
fives_3_a,fives,unspecified,expert,1418,graded,"probabilities to native, bilinear, then thresholded",,,0.852466,,,0.908213,0,0,105195,118350,
fives_58_d,fives,unspecified,expert,1421,graded,"probabilities to native, bilinear, then thresholded",,,0.850829,,,0.891210,0,0,58705,85450,
